t,pSv,pSh,pSr,pIv,pIh,pIr,pRv,pRh,pRr
0,0.9999,0.9999,0.9999,0.0001,0.0001,1.00E-04,0,0,0
1,0.99988,0.99988,0.99988,0.000109295,0.000108904,0.000108512,2.54E-07,1.22E-05,0.000582842
2,0.999855,0.999855,0.999855,0.000119302,0.000118528,0.000117751,5.31E-07,2.54E-05,0.001213706
3,0.99983,0.99983,0.999835,0.000130092,0.00012894,0.000127782,8.32E-07,3.97E-05,0.00189671
4,0.999805,0.999805,0.999805,0.000141738,0.000140209,0.000138669,1.16E-06,5.53E-05,0.002636328
5,0.999775,0.999775,0.99978,0.00015432,0.000152411,0.000150487,1.52E-06,0.000072173,0.003437376
6,0.99974,0.999745,0.999745,0.000167923,0.000165629,0.000163314,1.90E-06,9.05E-05,0.00430512
7,0.999705,0.99971,0.999715,0.00018264,0.000179952,0.000177235,2.32E-06,0.000110374,0.005245248
8,0.99967,0.999675,0.999675,0.000198571,0.000195476,0.000192345,2.78E-06,0.000131935,0.006263976
9,0.999625,0.99963,0.99964,0.000215822,0.000212305,0.000208743,3.27E-06,0.000155321,0.007367976
10,0.999585,0.99959,0.999595,0.00023451,0.000230551,0.000226539,3.81E-06,0.000180685,0.008564544
11,0.999535,0.99954,0.99955,0.000254761,0.000250338,0.000245852,4.39E-06,0.000208195,0.009861552
12,0.99948,0.99949,0.9995,0.000276709,0.000271797,0.00026681,5.03E-06,0.000238032,0.011267592
13,0.999425,0.999435,0.999445,0.000300503,0.000295071,0.000289553,5.71E-06,0.000270392,0.012791928
14,0.999365,0.999375,0.999385,0.0003263,0.000320315,0.000314233,6.46E-06,0.000305489,0.014444664
15,0.999295,0.99931,0.99932,0.000354274,0.000347699,0.000341013,7.27E-06,0.000343554,0.016236744
16,0.999225,0.99924,0.99925,0.00038461,0.000377403,0.000370071,8.14E-06,0.00038484,0.018179976
17,0.999145,0.99916,0.999175,0.00041751,0.000409625,0.000401601,9.09E-06,0.00042962,0.020287248
18,0.99906,0.999075,0.999095,0.000453193,0.000444579,0.000435811,1.01E-05,0.000478188,0.022572528
19,0.99897,0.998985,0.999005,0.000491895,0.000482497,0.000472927,1.12E-05,0.00053087,0.02505096
20,0.99887,0.99889,0.99891,0.000533875,0.00052363,0.000513195,1.25E-05,0.000588005,0.02773896
21,0.99876,0.99878,0.998805,0.000579405,0.00056825,0.000556885,1.38E-05,0.000649985,0.03065424
22,0.99864,0.998665,0.99869,0.00062879,0.000616645,0.00060428,1.52E-05,0.000717205,0.033816
23,0.998515,0.99854,0.99857,0.00068235,0.000669145,0.00065569,1.68E-05,0.00079012,0.03724536
24,0.998375,0.998405,0.998435,0.000740445,0.00072609,0.00071146,1.84E-05,0.00086921,0.04096512
25,0.998225,0.998255,0.99829,0.000803455,0.000787855,0.00077195,2.03E-05,0.000955,0.04499952
26,0.99806,0.998095,0.998135,0.000871785,0.000854835,0.00083756,2.22E-05,0.001048045,0.04937544
27,0.997885,0.997925,0.997965,0.00094589,0.000927485,0.00090872,2.44E-05,0.00114897,0.05412168
28,0.99769,0.997735,0.99778,0.001026245,0.00100626,0.000985885,2.67E-05,0.00125844,0.05926944
29,0.997485,0.99753,0.99758,0.00111338,0.001091685,0.001069565,2.92E-05,0.00137717,0.06485304
30,0.99726,0.99731,0.99736,0.001207855,0.00118431,0.0011603,3.20E-05,0.001505945,0.07090872
31,0.997015,0.99707,0.997125,0.001310285,0.001284735,0.001258675,3.49E-05,0.00164561,0.07747632
32,0.99675,0.99681,0.99687,0.00142132,0.0013936,0.00136533,3.81E-05,0.00179708,0.08459928
33,0.99646,0.996525,0.996595,0.00154168,0.00151161,0.001480935,4.16E-05,0.00196135,0.09232392
34,0.99615,0.99622,0.996295,0.001672135,0.001639515,0.001606245,4.54E-05,0.00213949,0.10070088
35,0.99581,0.99589,0.99597,0.001813505,0.00177813,0.001742045,4.95E-05,0.002332665,0.10978488
36,0.99544,0.99553,0.99562,0.001966695,0.00192833,0.0018892,5.40E-05,0.00254213,0.11963472
37,0.995045,0.99514,0.995235,0.00213266,0.002091065,0.00204864,5.88E-05,0.002769245,0.13031496
38,0.994615,0.994715,0.994825,0.002312445,0.00226735,0.002221355,6.40E-05,0.00301548,0.14189424
39,0.994145,0.99426,0.994375,0.002507165,0.002458285,0.002408425,6.97E-05,0.00328243,0.15444792
40,0.99364,0.993765,0.99389,0.002718025,0.00266505,0.00261101,7.59E-05,0.003571815,0.16805616
41,0.993095,0.993225,0.99336,0.00294632,0.00288891,0.00283035,8.25E-05,0.00388548,0.1828068
42,0.9925,0.992645,0.99279,0.00319343,0.00313123,0.00306778,8.97E-05,0.00422544,0.19879368
43,0.991855,0.992015,0.992175,0.003460855,0.003393475,0.003324735,9.76E-05,0.00459385,0.21611904
44,0.99116,0.99133,0.991505,0.003750185,0.003677205,0.003602755,0.000106054,0.00499305,0.23489256
45,0.990405,0.99059,0.99078,0.004063135,0.003984105,0.00390348,0.000115244,0.00542555,0.2552328
46,0.98959,0.98979,0.989995,0.00440153,0.004315965,0.004228675,0.000125199,0.0058941,0.2772672
47,0.988705,0.988925,0.989145,0.004767325,0.004674705,0.004580215,0.00013598,0.00640155,0.3011328
48,0.98775,0.987985,0.98823,0.0051626,0.00506235,0.00496011,0.000147656,0.0069511,0.326976
49,0.986715,0.986975,0.987235,0.00558955,0.00548115,0.0053705,0.000160297,0.0075461,0.35496
50,0.9856,0.985875,0.98616,0.0060506,0.0059333,0.00581365,0.000173981,0.0081902,0.3852528
51,0.98439,0.98469,0.985,0.0065482,0.00642135,0.00629195,0.000188792,0.0088873,0.4180392
52,0.983085,0.98341,0.983745,0.00708495,0.00694785,0.006808,0.000204816,0.0096416,0.453516
53,0.981675,0.982025,0.98239,0.00766375,0.0075156,0.00736445,0.00022215,0.0104575,0.491892
