t,Sv0,Sv1,Sh0,Sr0,Sr1,Sr2,Sr3,Sr4,Sr5,Sr6,Iv0,Iv1,Ih0,Ir0,Ir1,Ir2,Ir3,Ir4,Ir5,Ir6,Rv0,Rv1,Rh0,Rr0,Rr1,Rr2,Rr3,Rr4,Rr5,Rr6,cumIv0,cumIv1,cumIh0,cumIr0,cumIr1,cumIr2,cumIr3,cumIr4,cumIr5,cumIr6,cumIv,pIv,pIh,pIr
0,0.09999,0.09999,0.09999,0.09999,0.09999,0.09999,0.09999,0.09999,0.09999,0.09999,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0001,0.0001
1,0.0999879,0.0999879,0.0999879,0.0999879,0.0999879,0.0999879,0.0999879,0.0999879,0.0999879,0.0999879,1.09E-05,1.09E-05,1.09E-05,1.09E-05,1.09E-05,1.09E-05,1.09E-05,1.09E-05,1.09E-05,1.09E-05,1.21E-06,1.21E-06,1.21E-06,1.21E-06,1.21E-06,1.21E-06,1.21E-06,1.21E-06,1.21E-06,1.21E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,2.07E-06,4.13E-06,0.000108509,0.000108509,0.000108509
2,0.0999857,0.0999857,0.0999857,0.0999857,0.0999857,0.0999857,0.0999857,0.0999857,0.0999857,0.0999857,1.18E-05,1.18E-05,1.18E-05,1.18E-05,1.18E-05,1.18E-05,1.18E-05,1.18E-05,1.18E-05,1.18E-05,2.53E-06,2.53E-06,2.53E-06,2.53E-06,2.53E-06,2.53E-06,2.53E-06,2.53E-06,2.53E-06,2.53E-06,4.31E-06,4.31E-06,4.31E-06,4.31E-06,4.31E-06,4.31E-06,4.31E-06,4.31E-06,4.31E-06,4.31E-06,8.62E-06,0.000117741,0.000117741,0.000117741
3,0.0999833,0.0999833,0.0999833,0.0999833,0.0999833,0.0999833,0.0999833,0.0999833,0.0999833,0.0999833,1.28E-05,1.28E-05,1.28E-05,1.28E-05,1.28E-05,1.28E-05,1.28E-05,1.28E-05,1.28E-05,1.28E-05,3.95E-06,3.95E-06,3.95E-06,3.95E-06,3.95E-06,3.95E-06,3.95E-06,3.95E-06,3.95E-06,3.95E-06,6.74E-06,6.74E-06,6.74E-06,6.74E-06,6.74E-06,6.74E-06,6.74E-06,6.74E-06,6.74E-06,6.74E-06,1.35E-05,0.000127759,0.000127759,0.000127759
4,0.0999806,0.0999806,0.0999806,0.0999806,0.0999806,0.0999806,0.0999806,0.0999806,0.0999806,0.0999806,1.39E-05,1.39E-05,1.39E-05,1.39E-05,1.39E-05,1.39E-05,1.39E-05,1.39E-05,1.39E-05,1.39E-05,5.49E-06,5.49E-06,5.49E-06,5.49E-06,5.49E-06,5.49E-06,5.49E-06,5.49E-06,5.49E-06,5.49E-06,9.38E-06,9.38E-06,9.38E-06,9.38E-06,9.38E-06,9.38E-06,9.38E-06,9.38E-06,9.38E-06,9.38E-06,1.88E-05,0.000138628,0.000138628,0.000138628
5,0.0999778,0.0999778,0.0999778,0.0999778,0.0999778,0.0999778,0.0999778,0.0999778,0.0999778,0.0999778,1.50E-05,1.50E-05,1.50E-05,1.50E-05,1.50E-05,1.50E-05,1.50E-05,1.50E-05,1.50E-05,1.50E-05,7.16E-06,7.16E-06,7.16E-06,7.16E-06,7.16E-06,7.16E-06,7.16E-06,7.16E-06,7.16E-06,7.16E-06,1.22E-05,1.22E-05,1.22E-05,1.22E-05,1.22E-05,1.22E-05,1.22E-05,1.22E-05,1.22E-05,1.22E-05,2.45E-05,0.00015042,0.00015042,0.00015042
6,0.0999747,0.0999747,0.0999747,0.0999747,0.0999747,0.0999747,0.0999747,0.0999747,0.0999747,0.0999747,1.63E-05,1.63E-05,1.63E-05,1.63E-05,1.63E-05,1.63E-05,1.63E-05,1.63E-05,1.63E-05,1.63E-05,8.97E-06,8.97E-06,8.97E-06,8.97E-06,8.97E-06,8.97E-06,8.97E-06,8.97E-06,8.97E-06,8.97E-06,1.54E-05,1.54E-05,1.54E-05,1.54E-05,1.54E-05,1.54E-05,1.54E-05,1.54E-05,1.54E-05,1.54E-05,3.07E-05,0.000163215,0.000163215,0.000163215
7,0.0999714,0.0999714,0.0999714,0.0999714,0.0999714,0.0999714,0.0999714,0.0999714,0.0999714,0.0999714,1.77E-05,1.77E-05,1.77E-05,1.77E-05,1.77E-05,1.77E-05,1.77E-05,1.77E-05,1.77E-05,1.77E-05,1.09E-05,1.09E-05,1.09E-05,1.09E-05,1.09E-05,1.09E-05,1.09E-05,1.09E-05,1.09E-05,1.09E-05,1.87E-05,1.87E-05,1.87E-05,1.87E-05,1.87E-05,1.87E-05,1.87E-05,1.87E-05,1.87E-05,1.87E-05,3.75E-05,0.000177098,0.000177098,0.000177098
8,0.0999677,0.0999677,0.0999677,0.0999677,0.0999677,0.0999677,0.0999677,0.0999677,0.0999677,0.0999677,1.92E-05,1.92E-05,1.92E-05,1.92E-05,1.92E-05,1.92E-05,1.92E-05,1.92E-05,1.92E-05,1.92E-05,1.30E-05,1.30E-05,1.30E-05,1.30E-05,1.30E-05,1.30E-05,1.30E-05,1.30E-05,1.30E-05,1.30E-05,2.24E-05,2.24E-05,2.24E-05,2.24E-05,2.24E-05,2.24E-05,2.24E-05,2.24E-05,2.24E-05,2.24E-05,4.48E-05,0.000192159,0.000192159,0.000192159
9,0.0999638,0.0999638,0.0999638,0.0999638,0.0999638,0.0999638,0.0999638,0.0999638,0.0999638,0.0999638,2.09E-05,2.09E-05,2.09E-05,2.09E-05,2.09E-05,2.09E-05,2.09E-05,2.09E-05,2.09E-05,2.09E-05,1.53E-05,1.53E-05,1.53E-05,1.53E-05,1.53E-05,1.53E-05,1.53E-05,1.53E-05,1.53E-05,1.53E-05,2.64E-05,2.64E-05,2.64E-05,2.64E-05,2.64E-05,2.64E-05,2.64E-05,2.64E-05,2.64E-05,2.64E-05,5.27E-05,0.000208501,0.000208501,0.000208501
