t,pSv,pSh,pSr,pIv,pIh,pIr,pRv,pRh,pRr
0,0.9999,0.9999,0.9999,0.0001,0.0001,1.00E-04,0,0,0
1,0.99988,0.99988,0.99988,0.000108509,0.000108509,0.000108509,1.21E-05,1.21E-05,1.21E-05
2,0.999855,0.999855,0.999855,0.000117742,0.000117742,0.000117742,2.53E-05,2.53E-05,2.53E-05
3,0.999835,0.999835,0.999835,0.000127759,0.000127759,0.000127759,3.95E-05,3.95E-05,3.95E-05
4,0.999805,0.999805,0.999805,0.000138628,0.000138628,0.000138628,0.000054917,0.000054917,0.000054917
5,0.99978,0.99978,0.99978,0.000150421,0.000150421,0.000150421,7.16E-05,7.16E-05,7.16E-05
6,0.999745,0.999745,0.999745,0.000163216,0.000163216,0.000163216,0.000089668,0.000089668,0.000089668
7,0.999715,0.999715,0.999715,0.000177098,0.000177098,0.000177098,0.000109241,0.000109241,0.000109241
8,0.999675,0.999675,0.999675,0.00019216,0.00019216,0.00019216,0.000130446,0.000130446,0.000130446
9,0.99964,0.99964,0.99964,0.000208501,0.000208501,0.000208501,0.000153421,0.000153421,0.000153421
10,0.999595,0.999595,0.999595,0.00022623,0.00022623,0.00022623,0.000178318,0.000178318,0.000178318
11,0.99955,0.99955,0.99955,0.000245464,0.000245464,0.000245464,0.000205299,0.000205299,0.000205299
12,0.9995,0.9995,0.9995,0.000266331,0.000266331,0.000266331,0.000234541,0.000234541,0.000234541
13,0.999445,0.999445,0.999445,0.000288969,0.000288969,0.000288969,0.000266237,0.000266237,0.000266237
14,0.999385,0.999385,0.999385,0.000313527,0.000313527,0.000313527,0.000300595,0.000300595,0.000300595
15,0.99932,0.99932,0.99932,0.000340169,0.000340169,0.000340169,0.00033784,0.00033784,0.00033784
16,0.999255,0.999255,0.999255,0.00036907,0.00036907,0.00036907,0.000378218,0.000378218,0.000378218
17,0.99918,0.99918,0.99918,0.00040042,0.00040042,0.00040042,0.000421994,0.000421994,0.000421994
18,0.999095,0.999095,0.999095,0.000434426,0.000434426,0.000434426,0.000469457,0.000469457,0.000469457
19,0.99901,0.99901,0.99901,0.000471313,0.000471313,0.000471313,0.00052092,0.00052092,0.00052092
20,0.99891,0.99891,0.99891,0.00051132,0.00051132,0.00051132,0.000576715,0.000576715,0.000576715
21,0.99881,0.99881,0.99881,0.000554715,0.000554715,0.000554715,0.00063722,0.00063722,0.00063722
22,0.998695,0.998695,0.998695,0.00060178,0.00060178,0.00060178,0.000702825,0.000702825,0.000702825
23,0.998575,0.998575,0.998575,0.000652825,0.000652825,0.000652825,0.000773965,0.000773965,0.000773965
24,0.99844,0.99844,0.99844,0.00070818,0.00070818,0.00070818,0.000851105,0.000851105,0.000851105
25,0.998295,0.998295,0.998295,0.000768205,0.000768205,0.000768205,0.00093475,0.00093475,0.00093475
26,0.99814,0.99814,0.99814,0.000833295,0.000833295,0.000833295,0.001025455,0.001025455,0.001025455
27,0.99797,0.99797,0.99797,0.00090387,0.00090387,0.00090387,0.001123815,0.001123815,0.001123815
28,0.99779,0.99779,0.99779,0.00098039,0.00098039,0.00098039,0.00123047,0.00123047,0.00123047
29,0.99759,0.99759,0.99759,0.001063345,0.001063345,0.001063345,0.00134612,0.00134612,0.00134612
30,0.997375,0.997375,0.997375,0.001153275,0.001153275,0.001153275,0.001471525,0.001471525,0.001471525
31,0.99714,0.99714,0.99714,0.001250755,0.001250755,0.001250755,0.001607495,0.001607495,0.001607495
32,0.99689,0.99689,0.99689,0.001356405,0.001356405,0.001356405,0.001754925,0.001754925,0.001754925
